#Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Mail In Votes,Absentee Mail In Overvotes,Absentee Mail In Undervotes,Absentee Mail In Invalid Votes,Absentee Walk In Votes,Absentee Walk In Overvotes,Absentee Walk In Undervotes,Absentee Walk In Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,Ryan L. BINKLEY,4,,23,0,0,0,1,0,0,0,16,0,0,0,1,0,0,0,5,0,0,0
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,Vivek RAMASWAMY,7,,24,0,0,0,2,0,0,0,15,0,0,0,1,0,0,0,6,0,0,0
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,Ron DeSANTIS,5,,19,0,0,0,3,0,0,0,14,0,0,0,1,0,0,0,1,0,0,0
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,Donald J. TRUMP,1,,30,0,0,0,4,0,0,0,13,0,0,0,1,0,0,0,12,0,0,0
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,Chris CHRISTIE,3,,20,0,0,0,5,0,0,0,12,0,0,0,1,0,0,0,2,0,0,0
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,Nikki R. HALEY,2,,24,0,0,0,6,0,0,0,11,0,0,0,1,0,0,0,6,0,0,0
A101-ALEXANDRIA - REP,1,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,2,,"""UNCOMMITTED""",6,,26,0,0,0,7,0,0,0,10,0,0,0,1,0,0,0,8,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,4,,Joseph R. BIDEN JR.,1,,39,0,0,0,8,0,0,0,9,0,0,0,1,0,0,0,21,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,4,,Marianne WILLIAMSON,3,,22,0,0,0,9,0,0,0,8,0,0,0,1,0,0,0,4,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,4,,Dean PHILLIPS,2,,21,0,0,0,10,0,0,0,7,0,0,0,1,0,0,0,3,0,0,0
A101-ALEXANDRIA - DEM,2,Not Reporting,0,100,0,PRESIDENT of the UNITED STATES,4,,"""UNCOMMITTED""",4,,24,0,0,0,11,0,0,0,6,0,0,0,1,0,0,0,6,0,0,0
